Title,Published date,Issues,Number of signatures
Divest or put in a blind trust all of the President's business and financial assets," January 20, 2017","In keeping with tradition and to avoid the appearance of conflicts of interest, corruption, and violations of the emoluments clause of the US Constitution, President Trump should divest his financial and business holdings or have them administered by a truly blind trust.","360,753"
Repeal the NFA," January 20, 2017","We the People wish to see the National Firearms Act of 1934 repealed in order to remove regulations on our 2nd amendment rights, increase national economic strength, and provide protection against threats to our national security.","290,458"
Do Not Repeal Net Neutrality," November 22, 2017","Net Neutrality (NN) makes it illegal for ISPs to ""throttle"" your internet content. Throttling allows them to choose how fast, and even if, you can have functional access to certain websites. This paves the way for having different plans for different speeds you can visit websites. Currently you can use the internet at full speed for all websites. With Net Neutrality repealed not only would you pay for the internet service but you would pay for one of their plans to allow faster internet.
In 2016, the public and United States Appeals Court disapproved of an effort to repeal NN. We are aware that repealing NN will only benefit the monopolized internet service providers.  The public overwhelming has its best interests in NN as it protects the consumer, and thus we stand to keep NN in effect.","275,474"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017," April 11, 2017","On 11th April 2017, a passenger was forcefully removed from the plane because he refused to give up his seat. He was dragged off brutally and violently. Blood is visible on his face and body. The flight was departing O'Hare Interntaional Airport in Chicago for Louisville, Kentucky.
The passenger explained that he is a doctor and he is on his way to see his patients thus he cannot reschedule his flight. This resulted in him being forcefully dragged off the plane and the force deployed caused him to bleed. 
The passenger was shouting that he was chosen to leave the flight only because he is Chinese, according to the news report by the New York Times. 
We are calling the federal government to launch an investigation into this incident. 
#ChineseLivesMatters","212,679"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law," August 20, 2017","Whereas George Soros has willfully and on an ongoing basis attempted to destabilize and otherwise commit acts of sedition against the United States and its citizens, has created and funded dozens (and probably hundreds) of discrete organizations whose sole purpose is to apply Alinsky model terrorist tactics to facilitate the collapse of the systems and Constitutional government of the United State, and has developed unhealthy and undue influence over the entire Democrat Party and a large portion of the US Federal government, the DOJ should immediately declare George Soros and all of his organizations and staff members to be domestic terrorists, and have all of his personal an organizational wealth  and assets seized under Civil Asset Forfeiture law.","165,968"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government"," June 19, 2018","President Trump’s administration has taken a sound policy towards the destabilizing policies of the Islamic Republic of Iran in the world. 
Wise increase in the pressure on the Islamic Republic can give the opportunity to tens of millions of anti-regime citizens of Iran to actively seek freedom, democracy, and socio-economic welfare. Now, as the Islamic Republic has weakened, no time-wasting should be allowed. During the past 39 years, Islamic Republic has proved unable to reform, continues to support terrorism and oppress the Iranian people. 
In addition to expressing their gratitude for President Trump’s Iran policy, the signatories of this petition request your support for the Iranian citizens in changing the regime in Iran and rejection of any dialogue with the Islamic Republic.","162,079"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial," February 16, 2018","Peter Wang, 15, was one of the students killed in Florida this past week. He was a Jrotc Cadet who was last seen, in uniform, holding doors open and thus allowing other students, teachers, and staff to flee to safety. Wang was killed in the process. His selfless and heroic actions have led to the survival of dozens in the area. Wang died a hero, and deserves to be treated as such, and deserves a full honors military burial.","142,652"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns," January 20, 2017","The President violates the Title of Nobility Clause, as explained in Article I, Section 9 of the United States Constitution.
The clause states:  No title of nobility shall be granted by the United States: and no person holding any office of profit or trust under them, shall, without the consent of the Congress, accept of any present, emolument, office, or title, of any kind whatever, from any king, prince, or foreign state.
Donald Trump has known financial ties with Russia, and owes hundreds of millions of dollars in debt to banks in foreign countries, such as China. The complicated business entanglements create a conflict of interest for national security issues.  The American People deserve to see his tax returns.
Donald Trump needs to resign as President of the United States.","140,279"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars."," June 30, 2018","The Nasdaq-listed company, JD.com, Inc. has long marketed Phicomm company's product within it's self owned stores.Phicomm company used this so called ""buy it with 0 dollar""method to sells its product to customers with a price much higher than the cost price and they promise to return the funds after a certain period of time through the ""Lincomb FINANCE"" company affiliated to Phicomm. This is a real time Ponzi scheme but JD.com did not inform their clients of the risks,which leads to millions of people have been cheated tens of billions of dollars.
We would like to request the FBI's securities and U.S. Securities and Exchange Commission to investigate JD.com,severely punish JD.com and CEO Qiangdong Liu, compensate consumers for their loss.","136,709"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide," October 27, 2017","November 2017 marks the 33rd year of anti-Sikh violence throughout India carried out by Gandhi's Congress party in which more than 30,000 Sikhs were killed, thousands of women raped and hundreds of Sikh Gurdwaras burnt.
http://time.com/3545867/india-1984-sikh-genocide-anniversary/
Since 1984, successive Indian governments have continuously shielded the political leaders like Kamal Nath, Jagdish Tytler, Sajjan Kumar and Amitabh Bachchan who participated in 1984 genocidal violence against Sikhs. 
In 33 years, despite ample evidence and witnesses, India has not convicted any political leader who incited violence against Sikhs and has denied justice to the victims.
We urge the President to CONDEMN India's Denial of Justice to the victims of November 1984 Sikh Genocide.","124,453"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa," March 15, 2018","EB-5 is the only immigration program taking advantage of the foreign direct investment to create US jobs. Due to the limited availability of the visas, currently there are over 150,000 investors’ families having to wait over 10 years to set their feet on the land of the US. The EB-5 Reform Act under review in congress has not proposed to improve this terrible situation. Instead, it will increase the waiting period to 15-20 years and kill the hope of these families that already helped boost US economy. The passage of the law will cause withdrawals of these investments and jeopardize more than 1.5 million American jobs being created nationwide. 
Solution? Add this: The numerical limitations of the visas shall ONLY apply to principal aliens and not to the spouses or children of such aliens.","122,486"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai," November 23, 2017",We the people have identified FCC Chairman Ajit Varadaraj Pai as a threat to our freedoms due to his call to repeal Net Neutrality. We passionately call upon the white house for the immediate removal of FCC Chairman Ajit Varadaraj Pai from office for his actions.,"118,017"
A Peace Treaty on the Korean Peninsula," March 15, 2018","Title: We petition for a comprehensive and permanent peace treaty on the Korean peninsula. 
President Donald Trump has the heartfelt thanks and congratulations for his courage on behalf of peace in Korea in agreeing to meet with Chairman Kim Jong-un of North Korea. We understand that much work remains, and a nuclear freeze can be the first and critical step toward denuclearization. Moving forward, a permanent peace treaty that finally ends the Korean War after 65 years, through normalization of relations between the U.S. and North Korea, would be a bold move for peace that will be remembered for ages. We urge the President to exercise leadership for peace and work towards a comprehensive and permanent peace solution in the Korean peninsula.","111,537"
Juniors Law," June 26, 2018","Lesandro Guzman-Feliz, 15, was dragged out of a bodega in the Belmont neighborhood on Wednesday night June 20th and stabbed with machetes by several attackers in what investigators suspect was a case of mistaken identity by members of a gang. No one in the local bodega helped him even though they knew him all his life. We want a law that protects our kids and makes it mandatory that all businesses provide a safe refuge and call the cops if they see a young person in danger.","108,705"
