Name
"YOUNG, DONALD E campaign speech"
"BYRNE, BRADLEY ROBERTS campaign speech"
"ROBY, MARTHA campaign speech"
"ROGERS, MICHAEL DENNIS campaign speech"
"ADERHOLT, ROBERT B. REP. campaign speech"
"BROOKS, MO campaign speech"
"PALMER, GARY campaign speech"
"SEWELL, TERRI A. campaign speech"
"CRAWFORD, ERIC ALAN RICK campaign speech"
"HILL, JAMES FRENCH campaign speech"
"WOMACK, STEVE campaign speech"
"WESTERMAN, BRUCE campaign speech"
"O HALLERAN, TOM campaign speech"
"MCSALLY, MARTHA campaign speech"
"GRIJALVA, RAUL M campaign speech"
"GOSAR, PAUL ANTHONY campaign speech"
"BIGGS, ANDY campaign speech"
"SCHWEIKERT, DAVID campaign speech"
"GALLEGO, RUBEN campaign speech"
"FRANKS, TRENT campaign speech"
"SINEMA, KYRSTEN campaign speech"
"FLAKE, JEFFRY LANE campaign speech"
"LAMALFA, DOUG campaign speech"
"HUFFMAN, JARED campaign speech"
"GARAMENDI, JOHN campaign speech"
"MCCLINTOCK, THOMAS campaign speech"
"THOMPSON, MIKE MR. campaign speech"
"MATSUI, DORIS campaign speech"
"BERA, AMERISH campaign speech"
"COOK, PAUL campaign speech"
"MCNERNEY, JERRY campaign speech"
"DENHAM, JEFF campaign speech"
"DESAULNIER, MARK campaign speech"
"PELOSI, NANCY campaign speech"
"LEE, BARBARA campaign speech"
"SPEIER, JACKIE campaign speech"
"SWALWELL, ERIC MICHAEL campaign speech"
"COSTA, JIM campaign speech"
"KHANNA, ROHIT campaign speech"
"ESHOO, ANNA G. campaign speech"
"LOFGREN, ZOE campaign speech"
"PANETTA, JIMMY campaign speech"
"VALADAO, DAVID campaign speech"
"NUNES, DEVIN G campaign speech"
"MCCARTHY, KEVIN campaign speech"
"CARBAJAL, SALUD O. campaign speech"
"KNIGHT, STEVE campaign speech"
"BROWNLEY, JULIA campaign speech"
"CHU, JUDY campaign speech"
"SCHIFF, ADAM campaign speech"
"CARDENAS, TONY campaign speech"
"SHERMAN, BRAD campaign speech"
"AGUILAR, PETE campaign speech"
"NAPOLITANO, GRACE campaign speech"
"LIEU, TED campaign speech"
"BECERRA, XAVIER campaign speech"
"TORRES, NORMA campaign speech"
"RUIZ, RAUL DR. campaign speech"
"BASS, KAREN campaign speech"
"SANCHEZ, LINDA campaign speech"
"ROYCE, EDWARD R campaign speech"
"ROYBAL ALLARD, LUCILLE campaign speech"
"TAKANO, MARK campaign speech"
"CALVERT, KEN campaign speech"
"WATERS, MAXINE MS campaign speech"
"BARRAGAN, NANETTE campaign speech"
"WALTERS, MIMI campaign speech"
"CORREA, JOSE LUIS (LOU) MR. campaign speech"
"LOWENTHAL, ALAN campaign speech"
"ROHRABACHER, DANA campaign speech"
"ISSA, DARRELL E campaign speech"
"HUNTER, DUNCAN D. campaign speech"
"VARGAS, JUAN C. campaign speech"
"PETERS, SCOTT campaign speech"
"DAVIS, SUSAN A. campaign speech"
"FEINSTEIN, DIANNE campaign speech"
"DEGETTE, DIANA L. campaign speech"
"POLIS, JARED campaign speech"
"TIPTON, SCOTT R. MR. campaign speech"
"BUCK, KENNETH R campaign speech"
"LAMBORN, DOUGLAS campaign speech"
"COFFMAN, MIKE REP. campaign speech"
"PERLMUTTER, EDWIN G campaign speech"
"LARSON, JOHN B campaign speech"
"COURTNEY, JOSEPH D campaign speech"
"DELAURO, ROSA L campaign speech"
"HIMES, JIM campaign speech"
"ESTY, ELIZABETH campaign speech"
"MURPHY, CHRISTOPHER SCOTT campaign speech"
"BLUNT ROCHESTER, LISA campaign speech"
"CARPER, THOMAS R campaign speech"
"GAETZ, MATT campaign speech"
"DUNN, NEAL PATRICK MD, FACS campaign speech"
"YOHO, THEODORE SCOTT campaign speech"
"RUTHERFORD, JOHN campaign speech"
"LAWSON, ALFRED JR campaign speech"
"DESANTIS, RONALD D. campaign speech"
