,title,keywords,url,,,,,good
941,Adam B. Schiff speaks at University of Pennsylvania,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=lRpyb_MKpkM,,,,,
942,Schiff criticizes Trump speech on human rights,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=VCStRYMX6PA,,,,,
943,Rep. Adam Schiff Lays Out Evidence For Russian Involvement In Presidential Election,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=vDO87d8XYiE,,,,,
944,Rep. Adam Schiff calls Trump's comment about press 'most alarming' remark since election,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=z7JvuLU7yVg,,,,,
945,Rep. Adam Schiff: We've Subpoenaed Cory Lewandowski For Answers In Russia Probe | MSNBC,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=fYa6mqkq7EE,,,,,
946,Congressman Adam Schiff Has Ideas On How The US Can Prevent Election Meddling | Morning Joe | MSNBC,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=Ds8VkDYDFgo,,,,,
947,"KQED Newsroom | Adam Schiff, Kevin de Leon, CA Chief Justice",adam+schiff+campaign+speech,https://www.youtube.com/watch?v=duyzmkRDA8o,,,,,
948,Congressman Adam Schiff,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=Xa9VjK1tyKs,,,,,
949,"Rep. Adam Schiff sings ""Meet the Mets"" (C-SPAN)",adam+schiff+campaign+speech,https://www.youtube.com/watch?v=VIX-dR2L0rQ,,,,,
950,Rep. Adam Schiff reacts to Russia hearing,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=z3BBMHOjK6g,,,,,
951,Rep Adam Schiff: Hesitancy to dig into possible Trump campaign-Russia collusion,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=eLaXItxzY0E,,,,,
952,The role of Congress in protecting liberal democracy,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=bgY6v6jDeyg,,,,,
953,Schiff: ‘No evidence’ of ‘spy in the Trump campaign’,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=p1jelp2_kRc,,,,,
954,Dems demand briefings on whether Russia titled election,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=DZwC3NfH84o,,,,,
955,Schiff: We need independent commission,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=jc5ZeyJfXC0,,,,,
956,"Nothing to support claim FBI placed spy in Trump campaign, Schiff says",adam+schiff+campaign+speech,https://www.youtube.com/watch?v=pDeIw1o-Ijw,,,,,
957,Rep. Adam Schiff: FBI Director Made 'Terrible Error in Judgment',adam+schiff+campaign+speech,https://www.youtube.com/watch?v=E2IuxXgEciA,,,,,
958,Representative Adam Schiff at DNC 2016,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=KuFOV1spLC4,,,,,x
959,"Rep. Adam Schiff, Gig Economy Rules, CA GOP Convention",adam+schiff+campaign+speech,https://www.youtube.com/watch?v=axur0sHZyf4,,,,,
960,Adam Schiff Press Conference On President Trump and Russia 3/30/2017,adam+schiff+campaign+speech,https://www.youtube.com/watch?v=HQuhhH3faXo,,,,,
1701,GOP Rep. Gaetz Says Farm Bill Wasn't Conservative Enough,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=1oUi9gGtp3o,,,,,
1702,Look Who’s Talking: Rep. Matt Gaetz,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=imYsHwSaXco,,,,,
1703,GOP Rep. Matt Gaetz Describes Haiti As 'Sheet Metal And Garbage' | All In | MSNBC,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=Z31C6I9YUbg,,,,,
1704,Intel community shouldn’t be used by political parties: Rep. Gaetz,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=3IpoSKlcfuE,,,,,
1705,Paul Ryan is a defender of the deep state: Rep. Gaetz,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=Ikn-74k_eLQ,,,,,
1706,Donald Trump Jr. campaigns for Matt Gaetz in Niceville,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=ufvpifhJ-yQ,,,,,
1707,Rep. Gaetz: I hope we don’t rush to gun control,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=hNdyRYudcpc,,,,,
1708,Congressman: Fire Robert Mueller,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=G36ESjiFYu4,,,,,
1709,Dueling Protests at Congressman Matt Gaetz Town Hall Event,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=XjI_VZfid0c,,,,,
1710,Reps. Gaetz and Jordan call for a second special counsel,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=s2c_YROmt7g,,,,,
1711,ONE on ONE with Rep. Matt Gaetz,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=TsppJ5VlV7o,,,,,
1712,Robert Mueller needs to resign from Russia probe: Rep. Gaetz,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=kAVysB6_QiQ,,,,,
1713,Rudy Giuliani says Trump should be interviewed by Mueller,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=a6ClqfQuUSM,,,,,
1714,Trump Calls Informant on His 2016 Campaign 'Spygate',matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=nHwJ-vguwq4,,,,,
1715,Congressman Gaetz Supports Sen. Jeff Sessions Confirmation,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=zjVdArvHSpI,,,,,
1716,Gaetz Speaking at Trump Rally,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=POo7eAHPPgc,,,,,x
1717,Voters want a special counsel to investigate Clinton: Poll,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=CGhxDmUUaFw,,,,,
1718,Congressman Gaetz opens for President Trump,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=NryM8Bzojsk,,,,,
1719,"Rep. Matt Gaetz Files Rep. Schiff's Original FISA Bill from 2013 - February 27, 2018",matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=4FvAMLNxFsw,,,,,
1720,Fight Back,matt+gaetz+campaign+speech,https://www.youtube.com/watch?v=85zxRkTQEkI,,,,,
1961,Kathy Castor - (D) Hillsborough County,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=DkWv1qksCL4,,,,,
1962,ZUCKERBERG TESTIMONY: Rep. Kathy Castor grills Facebook CEO Mark Zuckerberg on data collection,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=Z6k5WdVU3D0,,,,,
1963,Democracy 2014: Rep. Kathy Castor,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=Di42E0Uoul8,,,,,
1964,Kathy Castor - Healthcare Town Hall Meeting in Tampa - 8/6,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=_kxaGfClPws,,,,,
1965,RepKathyCastor,kathy+castor+campaign+speech,https://www.youtube.com/user/RepKathyCastor,,,,,
1966,Rep. Kathy Castor - Hate Crimes Legislation,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=C_9NJXvttjk,,,,,x
1967,Mark Zuckerberg pressed on Facebook's collection of personal data,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=WHszEcin5uE,,,,,
1968,LCV Cities Tour - Tampa: Interview with Rep. Kathy Castor on Centro Asturiano,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=7_VTsqMAc-w,,,,,
1969,Democracy 2010: Five minutes with Kathy Castor,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=iW-QMFlPRd4,,,,,
1970,"🔴 President Trump EXPLOSIVE Speech at MASSIVE Rally with Rep. DeSantis in Tampa, Florida",kathy+castor+campaign+speech,https://www.youtube.com/watch?v=LpJnwHuNhwM,,,,,
